phrases,tags
Is it possible to get a physical card?,order_physical_card
I got charged a fee for transferring money.,transfer_fee_charged
There is a payment that i made that i noticed has not gone thru yet. Can i ask why?,pending_card_payment
How do I modify my account details?,edit_personal_details
Which countries can I change my PIN in?,change_pin
How do I verify my ID?,verify_my_identity
What kind of ATMs would this card be accepted at?,atm_support
Can you explain to me why a cash withdrawal shows up as pending?,pending_cash_withdrawal
I am still waiting for the cash to be returned from a cheque I deposited!,balance_not_updated_after_cheque_or_cash_deposit
Do you have an auto-top function and how do I use it if so?,automatic_top_up
"I made a mistake of transferring, can I cancel my previous transfer?",cancel_transfer
What do you do with all the identity information you're collecting from me?,why_verify_identity
My payment's stuck on pending.,pending_card_payment
i tried to do a transfer to an account but it didn't work,beneficiary_not_allowed
Can I directly deposit my salary to this account?,receiving_money
I was just giving the wrong amount by the ATM. How do I request cash back at this point? The app is showing the amount that I actually requested even though that's not what I got.,wrong_amount_of_cash_received
"Is there a fee when I get cash from an ATM? Is there a limit I can take out? If there is a fee, what is it?",cash_withdrawal_charge
I received the wrong amount of cash from the ATM. Can you help?,wrong_amount_of_cash_received
"My transfer was declined, why is that?",declined_transfer
Is it possible to get one the your cards in the EU?,country_support
how long does it take to get my card i am in a rush,card_delivery_estimate
I did not make a direct debit payment as listed on my app,direct_debit_payment_not_recognised
Can I call to get my card activated?,activate_my_card
I was double charged at a restaurant can you take the second charge off?,transaction_charged_twice
"If I want to get an account for my daughter, can I do that?",age_limit
How can I get money in my home currency while I'm traveling internationally? I wanted to take it out of a local ATM but am worried that I will get charged extra fees.,wrong_exchange_rate_for_cash_withdrawal
"I have been double charged for a couple of things this week, and would appreciate a refund for the duplicate charges.",transaction_charged_twice
i transfered and yet it is still pending,pending_transfer
I'd like to order an additional card,getting_spare_card
I would like to cancel a transfer,cancel_transfer
I need to know the if there is a limit on the amount for auto top-up.,automatic_top_up
Why haven't I gotten my payment yet?,pending_card_payment
"Which card would I get, Visa or Mastercard?",visa_or_mastercard
I did not get the right exchange rate while getting my cash out.,wrong_exchange_rate_for_cash_withdrawal
I noticed my card was used in a small town that I have never been to. Can you stop the card from being used more?,compromised_card
There is a direct debit fee in the App that I didn't do.,direct_debit_payment_not_recognised
Where did my money go? I'm not able to withdraw it from my ATM.,declined_cash_withdrawal
How do I verify the source of my funds?,verify_source_of_funds
Why did I get charged more for using my card?,card_payment_fee_charged
My top-up appears to be pending.,pending_top_up
Can you find out why my credit card didn't process payment? It was declined for top up so what's the deal?,top_up_failed
Are there any limits to using disposable virtual cards?,disposable_card_limits
When the time is right will this automatically replenish my balance?,automatic_top_up
How often can I top up my account?,top_up_limits
My top-up is taking a very long time to complete.,pending_top_up
I got my card a few days ago but am unable to top up. I'm thinking about closing my account because of this. What is going on?,top_up_failed
"i accidentally entered in my retailers information, what should i do next",transfer_not_received_by_recipient
Can I transfer using SWIFT?,top_up_by_bank_transfer_charge
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",card_linking
Where are you present globally?,country_support
Do I get Visa or Mastercard?,visa_or_mastercard
What is necessary for the identity verification?,verify_my_identity
"Changed details is essential, what steps do I take to do so?",edit_personal_details
Why am I being charged a hidden fee?,card_payment_fee_charged
Why isn't my balance updating after depositing cheques and cash.,balance_not_updated_after_cheque_or_cash_deposit
my pin hasn't arrived in the post! How do I cancel it or get a new one?,get_physical_card
I entered a wrong PIN too many times. How can I fix this?,pin_blocked
How long before a bank transfer shows up in the account?,balance_not_updated_after_bank_transfer
Why is the cash withdraw I made shown as pending?,pending_cash_withdrawal
When going to the ATM to take out some cash today my withdrawal was  declined.  I need to fix this problem as soon as possible. whats going on?,declined_cash_withdrawal
what currencies can i exchange between on your app?,exchange_via_app
I need to get hold of a physical card?,order_physical_card
"Would you please check my Card. As Withdrawal was working fine so far, but this morning suddenly got declined. Can you please check the problem?",declined_cash_withdrawal
"I have been charged a fee, I didn't know about this fee before! When do you charge extra for card payments?",card_payment_fee_charged
How can I get a virtual card for a one-time transaction?,get_disposable_virtual_card
I want to transfer money. How do I do that for my account?,transfer_into_account
Is there a certain age I need to be?,age_limit
I completed a transfer that isn't showing up on my account.,balance_not_updated_after_bank_transfer
Where is the closest ATM I can use?,atm_support
May I get my salary paid out in a different currency?,receiving_money
Do you have an age limit?,age_limit
I require verification of my source of funds.,verify_source_of_funds
What is the top-up limit for my card?,top_up_limits
"After reviewing my charges, I see I was charged a fee for a transfer I did, why?",transfer_fee_charged
I got money overseas and the exchange rate was wrong,wrong_exchange_rate_for_cash_withdrawal
Why is there a fee on a card payment?,card_payment_fee_charged
I need a disposable virtual card. Please tell me how to order one.,get_disposable_virtual_card
My passcode won't work.,passcode_forgotten
When can I expect my card? I live in the US.,card_delivery_estimate
Can I have a discount if I exchange currency often?,exchange_charge
I recently deposited a cheque and cannot find the cash from it.,balance_not_updated_after_cheque_or_cash_deposit
Why is there an uknown charge showing on my account?,card_payment_not_recognised
What can you tell me about the card PIN?,get_physical_card
Can I change my PIN at any ATM?,change_pin
Why was I declined from getting cash?,declined_cash_withdrawal
Is it possible to top up using a cheque?,top_up_by_cash_or_cheque
I am still waiting for a transfer I did,balance_not_updated_after_bank_transfer
You provide support in what countries?,country_support
"how long does it take to transfer money, my retailer is waiting",transfer_not_received_by_recipient
Was there a way for me to get tracking for that?,card_arrival
Can you accept my other card from the U.S.?  It is the only other one I have.,supported_cards_and_currencies
How do I activate my card that just arrived?,activate_my_card
Is it possible to get a new card in China?,card_about_to_expire
When will the money from a transfer be made available on my account?,transfer_timing
Can you tell me what this fee is on my statement?,extra_charge_on_statement
Is it possible to refund an item?,request_refund
How do I use a card to top up?,topping_up_by_card
How do I exchange currencies using the app?,exchange_via_app
What information do I need to gather in order to activate my card?,activate_my_card
I transfered my balance a while back.  Why doesn't my account reflect this?,balance_not_updated_after_bank_transfer
I am having trouble transferring money to a beneficiery.,beneficiary_not_allowed
What is delivery speed to the United States?,card_delivery_estimate
"I tried using a check to update my balance, but it isn't work? Is something wrong?",balance_not_updated_after_cheque_or_cash_deposit
I just made an order and noticed an extra fee. Why have you charged me this without informing me?,card_payment_fee_charged
How do I edit my details?,edit_personal_details
Can I get a card in the EU?,country_support
Can I have a refund for one of your products?,request_refund
why was i chargged,transfer_fee_charged
"I would like open a second card for my daughter, how can you assist me?",getting_spare_card
I made a payment that seems to be stuck. It's been a couple of days already. Can you tell me how long it will take?,pending_card_payment
Can you tell me why my transfer is pending still?,pending_transfer
Why didn't I receive the right amount of cash?,wrong_amount_of_cash_received
Why is it important to verify my identity?,why_verify_identity
Where do I find the auto top up option?,automatic_top_up
I need help reapplying my top-up. It seems it isn't working.,top_up_failed
What currencies does google pay top up accept?,apple_pay_or_google_pay
I have double-checked all of my recipient details but for some reason all of my transfers keep getting declined. I have no clue as to why.,declined_transfer
"Please help me in this, as i was unable to make any payment by my new card,  it was getting declined repeatedly. I am not very happy with this incident.",declined_card_payment
how come my withdrawal rate is wrong for my cash withdrawal,wrong_exchange_rate_for_cash_withdrawal
Can you tell me the cost of a transfer?,top_up_by_bank_transfer_charge
I need to move money from another bank to this account.,transfer_into_account
is there a way to fix my top up,top_up_failed
I have been charged two times for one transaction.,transaction_charged_twice
Where is the closest ATM to me?,atm_support
"Good day, in reviewing my credit card activity over the last several days, I see a repeated charge for a restaurant that I went to. The charge was put through twice, so I would like one of the charges corrected and the amount that was withdrawn to be reinstated please.",transaction_charged_twice
What is the process to activate a card,activate_my_card
I am having an issue with an in country transfer I did a few days ago. It has yet to appear in my account. I have checked to be sure that all account information is correct multiple times. What is taking the transfer so long?,transfer_not_received_by_recipient
Why is there a pending hold on one pound on my statement?,extra_charge_on_statement
Why is my transfer still pending after all this time?,pending_transfer
I need to change my address,edit_personal_details
I want to delete my account. How do I do this?,terminate_account
I need clarity on why my card is not working.,card_not_working
Why can I not take out cash?,declined_cash_withdrawal
"Hi, during online shopping payment is getting declined yesterday and today as well. Please check the issue.",declined_transfer
My statement shows different transaction times.,transaction_charged_twice
after i got married i need to change my name,edit_personal_details
totally unacceptable.  I'm stranded with no cash because the ATM wouldn't give me any money!,declined_cash_withdrawal
My first choice would be Mastercard.,visa_or_mastercard
Whats the limit on my top up,top_up_limits
Tell me about verifying top-up,verify_top_up
I must verify the source of my funds,verify_source_of_funds
"In regards to my card payment, the exchange rate is incorrect.",card_payment_wrong_exchange_rate
I deposited a cheque a week ago but have yet to receive the cash.,balance_not_updated_after_cheque_or_cash_deposit
A payment shows up on the app that I never made.,card_payment_not_recognised
What happens when a beneficiary can't receive my transfer?,beneficiary_not_allowed
I've been charged an extra £1 and I don't know what it's for,extra_charge_on_statement
"Please help, the atm swallowed my card, what do I do?",card_swallowed
How would I change my details?,edit_personal_details
Will I see fees from adding money with an international card?,top_up_by_card_charge
How can I access my account when I have lost my phone?,lost_or_stolen_phone
Whats the max I can top up,top_up_limits
HOW DO I TRANSFER MONEY FROM MY BANK ACCOUNT?,transfer_into_account
"Hi, I am unable to use my card in ATM. I had tried my card in two ATMs but both ATMs declined it. Could you please check my account?",declined_cash_withdrawal
I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,card_payment_wrong_exchange_rate
Can you tell me the names of the fiat currencies that I can use at your institution?,fiat_currency_support
How much is it to use my US debit or credit card to top up?,top_up_by_card_charge
"I tried to top up, but it didn't finish.",pending_top_up
Can I do a SWIFT transfer?,top_up_by_bank_transfer_charge
I got a €1 extra fee in my statement,extra_charge_on_statement
When will my top up go through?,pending_top_up
Do you only use Visa or do you have Mastercard too?,visa_or_mastercard
Can I top off with a debit card?,supported_cards_and_currencies
How do I know where my funds come from?,verify_source_of_funds
"I needed to send my friends some money urgently.  I tried multiple times to transfer the money this morning, but the transfer keeps failing.  Can you tell me why the transfer is getting rejected?",failed_transfer
"I tried topping up using my card, but the money is gone?",topping_up_by_card
"Hello, i'd like to inform you of an issue i'm currently experiencing. The goods i have ordered from your website have still not arrived yet; it has been over 3 weeks. I would like to be issued a refund swiftly and be redirected to more competent people. Thank you for your assistance.",request_refund
"I might be paranoid, but someone may be using my card.",compromised_card
"It says that my payment is pending, what does that mean?",pending_card_payment
I would like to reactivate my card that I previously reported lost. I located the card this morning.,card_linking
Is there a fee that comes with transfers?,transfer_fee_charged
I can't see all the refunds in my statement,Refund_not_showing_up
Where can i exchange between GBP and USD,exchange_via_app
The contactless payments are not working.,contactless_not_working
I don't think my top up worked,top_up_failed
i cant seem to activate card,activate_my_card
"Declined, transfer not completed.",declined_transfer
are there age requirements,age_limit
What is the cost and time frame of getting a new card?,card_about_to_expire
My card information seems to have been stolen! I don't know where these transactions came from and I've never even been to the city where they were made. I need my card blocked ASAP so this person can't keep using my card.,compromised_card
Been trying to transfer money this morning but keep getting rejected. I don't understand why this is happening.,failed_transfer
I want to close my account now.,terminate_account
There is  a charge I don't recognize.,card_payment_not_recognised
Why am I getting double charged for multiple transactions?,transaction_charged_twice
What other credit cards can I use?,supported_cards_and_currencies
"I received my American Express in Apple Pay, is there a reason why top up is not functioning properly?",apple_pay_or_google_pay
Is a bank transfer acceptable for topping up my account?,transfer_into_account
Which ATMs accept this circuit board ?,atm_support
"I think there may be something wrong with my card. I have never had issues with withdraws before, but this morning on the way to work it was suddenly declined.",declined_cash_withdrawal
"my money, where is it coming from?",verify_source_of_funds
Why is my card payment still listed as pending?,pending_card_payment
I wondered if multiple currencies is okay?,fiat_currency_support
"I need my card topped up,",topping_up_by_card
What is the max I can top up?,top_up_limits
I have no way to prove my identity.,unable_to_verify_identity
How long will an urgent transfer from China take?,transfer_timing
My bag got stolen with all my cards. Can you please cancel my card and send a new one?,lost_or_stolen_card
I can't get my virtual card to work.,virtual_card_not_working
I keep being asked to verify my identity. Is this normal?,why_verify_identity
Is there a number to call to get my pin unblocked?,pin_blocked
Why is my beneficiary not being allowed to get payment services?,beneficiary_not_allowed
Why isn't my balance updating?  I did a bank transfer and it isn't current.,balance_not_updated_after_bank_transfer
"If my card expires next month, will I need to order a new one?",card_about_to_expire
I have a withdrawal waiting to go through.,pending_cash_withdrawal
Why is top-up verified?,verify_top_up
how long does it take to reflect in my balance a top up,pending_top_up
how to exchange currencies,exchange_via_app
"Hi, there is a suspicious payment from my card. I definitely do not know who this is or who could have made this payment.",card_payment_not_recognised
I can't use my card for anything,card_not_working
How come my card payment is still pending?,pending_card_payment
How do i receive a physical card?,order_physical_card
"For my account, how do I transfer money in?",transfer_into_account
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",card_linking
"It seems like I have been waiting forever for this international transfer. Why is it taking so long? C'mon, it's 2018, things happen at a click of a button. All of the account information is correct, so how long will this take?",pending_transfer
How do I turn on my new card?,activate_my_card
My new landlord is a lier and is trying to rip me off by saying I've not paid my rent when I have paid my rent.  What is going on?  They say the money hasn't got to them but I see it going out of my account.  Can you check that the money went to the right place?,transfer_not_received_by_recipient
What's up with the fee for getting cash?,cash_withdrawal_charge
Is it possible to top up with Google Pay?,apple_pay_or_google_pay
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and was declined?",transaction_charged_twice
I'm not sure what I need to verify my identity.,verify_my_identity
Is there a fee for topping off by transfer?,top_up_by_bank_transfer_charge
Unusual direct deposit,direct_debit_payment_not_recognised
Does the exchange rate change?,exchange_rate
My things were stolen and I need to know if I can still use this app.,lost_or_stolen_phone
Will you charge for a physical card?,order_physical_card
My friend says he hasn't received my transaction,transfer_not_received_by_recipient
Will I know which exchange rate I will get?,exchange_rate
Why hasn't my transaction arrived?,transfer_not_received_by_recipient
I see I was charged $1 for a transaction.,extra_charge_on_statement
What is the meaning of a pending payment?,pending_card_payment
I would like to change currency,exchange_via_app
I have no idea why but my transfers keep getting declined. I have double checked all the recipient details several times already and they're definitely correct.,declined_transfer
What is your refund policy for products I have purchased?,request_refund
How do I order my card?,order_physical_card
What are the top up fees for using an European bank card?,top_up_by_card_charge
In regards to the PIN of the card?,get_physical_card
Which ATMs take the card?,atm_support
Is there a fee for paying by card?,card_payment_fee_charged
Why is my money not in my account. I have already sent it out.,balance_not_updated_after_cheque_or_cash_deposit
What do I need in regards to identification?,verify_my_identity
The cash deposit I made this morning has not been credited to my account,balance_not_updated_after_cheque_or_cash_deposit
Please explain your exchange rate policy.,exchange_rate
What should I do after I've moved and need to update my personal details?,edit_personal_details
There is a transaction showing in my app that I did not make as I have not used that card all day.  Please reimburse this amount to my account.,direct_debit_payment_not_recognised
Can I choose what card I can use,visa_or_mastercard
I don't understand where this charge came from.,card_payment_not_recognised
"What are my options for topping up, automatic and/or manual?",automatic_top_up
I am having trouble withdrawing cash.,declined_cash_withdrawal
I wish to use my American Express to put funds into my account.,supported_cards_and_currencies
What are you exchange rates?,exchange_rate
Why does my statement show an extra fee?,extra_charge_on_statement
I don't see the transaction I made to a friend on my account.,transfer_not_received_by_recipient
Why would my card payment not work?,declined_card_payment
"I performed a transfer within the country the day before yesterday, but it has not gone through? Can you check on that? The account number is definitely correct, as I've checked.",transfer_not_received_by_recipient
"I got a card, how do I get it in the app?",card_linking
It appears my top-up is still pending.,pending_top_up
Do you charge anything for topping up?,top_up_by_bank_transfer_charge
"Hi, I tried to top up my card today and it did not work. I have tried it in the past and it worked just fine but it won't do it anymore. Can you help me out?",top_up_failed
I made a payment and it was reverted and wanted to know why?,reverted_card_payment?
I think the payment from my card was revereted,reverted_card_payment?
Do i have to wait to get the pin or can i set up a pin,get_physical_card
need to know where money comes from,verify_source_of_funds
What do I have to do to cancel a transfer?,cancel_transfer
Can someone assist me with activating my card?,activate_my_card
I need to reset my passcode. Where do I go to do that?,passcode_forgotten
"I just looked at my app and it seems I was charged extra, why is that?",extra_charge_on_statement
What do I do if I can't prove my identity?,unable_to_verify_identity
Canceling my order is what I need to do right now.,request_refund
What to do if my card has been used without my permission?,compromised_card
What's going on? My card wont accept any transactions.,card_not_working
Can I use SWIFT transfers?,top_up_by_bank_transfer_charge
Why am I being charged certain fees? I noticed a fee after I withdrew some money for groceries earlier today.,cash_withdrawal_charge
Can I get another card?,getting_spare_card
I haven't received the cash from the check I deposited.,balance_not_updated_after_cheque_or_cash_deposit
Why did the ATM eat my card?,card_swallowed
What kind of security protects my money?,verify_source_of_funds
How do I report possible fraudulent activity on my account?,compromised_card
Physical cards are what I need more of,getting_spare_card
"How long do EU transfers actually take? I recently bought something online a few days ago, sent the money immediately online but the seller says it's still not there yet.",pending_transfer
I want a new PIN please.,change_pin
The app is showing that I received alot more money than I actually received from the ATM. This occurred earlier today.,wrong_amount_of_cash_received
Why did my payment go back to my account when I bought something?,reverted_card_payment?
I took out some cash from the ATM but it is still showing the transaction is pending.,pending_cash_withdrawal
Why would a merchant revert my payment?,reverted_card_payment?
My top-up failed to go through.,top_up_failed
My transfer was declined. Why did this happen?,declined_transfer
How do I find out how or where this transaction on my account came from?,card_payment_not_recognised
Can I change or hold different currency?,fiat_currency_support
Is there a daily auto top-up limit?,automatic_top_up
I received an extra charge for using the card. Why?,card_payment_fee_charged
I want to revert this mornings transaction.,cancel_transfer
What do I owe for a new card?,order_physical_card
Why is there an extra fee charged?,extra_charge_on_statement
Why hasn't my friend's transaction arrive yet?,transfer_not_received_by_recipient
Is my daughter eligible to open an account?,age_limit
Someone took my card without my permission.,lost_or_stolen_card
What are the steps to verify identity?,verify_my_identity
How do I make my top up complete?,pending_top_up
My account isn't showing a transfer I made.,balance_not_updated_after_bank_transfer
"The company is no good, please terminate my account.",terminate_account
There's a $200 withdrawal on my statement that seems fishy to me.,cash_withdrawal_not_recognised
I'd like to know how transferring my money into my account works.,transfer_into_account
"Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined, I tried couple of times already  but same thing is happening.",declined_transfer
"My refund has not arrived, and I am unsure why. Who do I contact?",Refund_not_showing_up
I bought an item that I was charged a different exchange rate for.,card_payment_wrong_exchange_rate
I would like to activate my card what do I need to do?,activate_my_card
Will I be sent a new card before mine expires?,card_about_to_expire
I saw that my transfer was declined.,declined_transfer
Why have I been charged a fee for transferring money?,transfer_fee_charged
How can I go about getting a disposable virtual card?,get_disposable_virtual_card
Can you please reactivate my card?,card_linking
The app doesn't believe its me.,unable_to_verify_identity
Where do your cards get delivered to?,order_physical_card
"I tried and tried, but I could not complete my transfer. Tell me what is wrong.",failed_transfer
How long until I see a cash withdrawal?,pending_cash_withdrawal
What is your check-cashing policy?,top_up_by_cash_or_cheque
I have zero dollars in my account. Can I submit additional funds via bank transfer?,transfer_into_account
Can i get money back in my home currency at  ATM? As I am on holiday and bit concerned because i do not have any cash with me . Is it possible to withdraw without any additional cost.,wrong_exchange_rate_for_cash_withdrawal
What are all of the different steps for identity checks?,verify_my_identity
I am having a huge problem with my card being declined and it's really important that I top-up today.  Would you please look into this further and let me know how I can get this fixed?,top_up_failed
Help! I just realised someone has apparently withdrawn money using my card! It's from some odd remote town where I definitely haven't been. Please freeze it immediately!,cash_withdrawal_not_recognised
"Why did the person I transferred money to not receive the correct amount? What should I do to get them the right amount, do I have to transfer more money to them?",transfer_fee_charged
Why can't I see a transfer to my account?,balance_not_updated_after_bank_transfer
Activate my card,activate_my_card
Why was I not able to get cash from the ATM?,declined_cash_withdrawal
I need to reset the passcode.,passcode_forgotten
What is the procedure for me to get more cards on my account?,getting_spare_card
My account transfer was blocked.,beneficiary_not_allowed
Everything was stolen from me.  I can't use the app.  Please advise.,lost_or_stolen_phone
I'm looking for a machine of yours that will provide me cash from my home country. I went on holiday and don't have any cash on me. Will your machine charge me extra to do this?,wrong_exchange_rate_for_cash_withdrawal
I did not get enough cash,wrong_amount_of_cash_received
There has been a red flag on my top up.,top_up_failed
Can I receive my card anywhere?,order_physical_card
is it ok if i use both visa and mastercard,visa_or_mastercard
Can this convert money?,exchange_via_app
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,exchange_rate
Is there any way to know how the transaction got on my account?,card_payment_not_recognised
How do I get a spare card?,getting_spare_card
Is there a fee to top up a US card using a debit or credit card?,top_up_by_card_charge
How long is the wait for a money transfer to post?,pending_transfer
There's an unauthorized direct debit in my app.,direct_debit_payment_not_recognised
Help me figure out how to link the new card.,card_linking
There is an extra 1£ charge on my app. Why did you charge me extra?,extra_charge_on_statement
"I think my card is expiring, what happens then?",card_about_to_expire
"I was out today looking forward to paying with my new card, but the payment just kept getting declined. This is really sad, what's going on?",declined_card_payment
How much could I top up?,top_up_limits
What can I do with a disposable virtual card?,get_disposable_virtual_card
What could the reason be that my payment card was declined?,declined_card_payment
I got a message that my transfer is not possible.  What is happening?  I need this to go through please.,beneficiary_not_allowed
what do I need to do if the ATM kept my card?,card_swallowed
What do I need to do to exchange my money?,exchange_via_app
I attempted to get cash in the ATM but it was not authorized,declined_cash_withdrawal
What cash machines will let me change my PIN?,change_pin
Which establishments will accept my card?,card_acceptance
I purchased something overseas and the incorrect exchange rate was applied.,card_payment_wrong_exchange_rate
I think my card has been used by somebody else since I was never in the little town where some transactions on this bill have come from. Please stop this right away.,compromised_card
I NEED HELP WITH MY CARD!!!!! please. It keeps getting declined when I try to use it. I have tried a few times to use it and it keeps getting rejected. I have no idea why.,declined_card_payment
ATM apparently not working?  Couldn't access funds in my account?,declined_cash_withdrawal
Payment did not process,beneficiary_not_allowed
"It is still pending, I am still waiting. Your system just shows my top-up as pending. What is happening?",pending_top_up
I see a direct debit transaction that I didn't make.,direct_debit_payment_not_recognised
I'd like to apply for a Visa Card.,visa_or_mastercard
What has to be done to verify my identity?,verify_my_identity
What is this extra fee?,card_payment_fee_charged
My cash withdrawal was not entirely complete,wrong_amount_of_cash_received
I don't remember my password,passcode_forgotten
How long until the transfer is reflected on my account balance?,transfer_timing
Do you guys accept cash? Because i deposited some this morning and I can't see it in my account.,balance_not_updated_after_cheque_or_cash_deposit
I can still see money in my account after making a payment,balance_not_updated_after_bank_transfer
"There's a weird payment showing in my app that I definitely haven't made myself, as I haven't used the card at all that day. Please cancel that and return my money.",direct_debit_payment_not_recognised
I made a purchase but never expected to see a fee charged for the transaction.,card_payment_fee_charged
I think the exchange rate was incorrect.,wrong_exchange_rate_for_cash_withdrawal
